"road_segment","datetime","average_speed","segment"
"1","7/7/2024 18:43","16","0"
"1","7/7/2024 18:44","48","0"
"1","7/7/2024 18:44","0","0"
"1","7/7/2024 18:45","0","0"
"1","7/7/2024 18:45","0","0"
"1","7/7/2024 18:46","0","0"
"1","7/8/2024 18:43","13","0"
"1","7/8/2024 18:44","40","0"
"1","7/8/2024 18:44","5","0"
"1","7/8/2024 18:45","4","0"
"1","7/8/2024 18:45","0","0"
"1","7/8/2024 18:46","0","0"
"1","7/9/2024 18:43","20","0"
"1","7/9/2024 18:44","30","0"
"1","7/9/2024 18:44","17","0"
"1","7/9/2024 18:45","0","0"
"1","7/9/2024 18:45","0","0"
"1","7/9/2024 18:46","0","0"
"1","7/10/2024 18:43","18","0"
"1","7/10/2024 18:44","38","0"
"1","7/10/2024 18:44","0","0"
"1","7/10/2024 18:45","0","0"
"1","7/10/2024 18:45","0","0"
"1","7/10/2024 18:46","0","0"
"1","7/11/2024 18:43","19","0"
"1","7/11/2024 18:44","48","0"
"1","7/11/2024 18:44","5","0"
"1","7/11/2024 18:45","4","0"
"1","7/11/2024 18:45","0","0"
"1","7/11/2024 18:46","0","0"
"1","7/12/2024 18:43","16","0"
"1","7/12/2024 18:44","48","0"
"1","7/12/2024 18:44","0","0"
"1","7/12/2024 18:45","0","0"
"1","7/12/2024 18:45","0","0"
"1","7/12/2024 18:46","0","0"
